Number of nodes 5890 
   287 :  1.3356337e+01  4.5731460e+01 
   288 :  1.3586921e+01  4.5729689e+01 
   289 :  1.3747688e+01  4.5638078e+01 
   290 :  1.3603336e+01  4.5534649e+01 
   291 :  1.3525808e+01  4.5404561e+01 
   292 :  1.3578367e+01  4.5247056e+01 
   293 :  1.3640225e+01  4.5092495e+01 
   294 :  1.3766496e+01  4.4957721e+01 
   295 :  1.3877210e+01  4.4818325e+01 
   296 :  1.4002710e+01  4.4900473e+01 
   297 :  1.4139672e+01  4.5029138e+01 
   298 :  1.4215541e+01  4.5181479e+01 
   299 :  1.4351235e+01  4.5304835e+01 
   300 :  1.4559698e+01  4.5246577e+01 
   301 :  1.4733476e+01  4.5141171e+01 
   302 :  1.4862277e+01  4.5008632e+01 
   303 :  1.4891517e+01  4.4849582e+01 
   304 :  1.4944843e+01  4.4698190e+01 
   305 :  1.5090417e+01  4.4574006e+01 
   306 :  1.5240627e+01  4.4451517e+01 
   307 :  1.5375670e+01  4.4321877e+01 
   308 :  1.5316615e+01  4.4201385e+01 
   309 :  1.5243196e+01  4.4106113e+01 
   310 :  1.5388381e+01  4.3982600e+01 
   311 :  1.5557385e+01  4.3876364e+01 
   312 :  1.5719275e+01  4.3765077e+01 
   313 :  1.5904718e+01  4.3676805e+01 
   314 :  1.5970801e+01  4.3526434e+01 
   315 :  1.6175092e+01  4.3495155e+01 
   316 :  1.6385554e+01  4.3543546e+01 
   317 :  1.6581441e+01  4.3471542e+01 
   318 :  1.6770708e+01  4.3386257e+01 
   319 :  1.6960567e+01  4.3301943e+01 
   320 :  1.7135680e+01  4.3202735e+01 
   321 :  1.7316786e+01  4.3109654e+01 
   322 :  1.7368560e+01  4.2997304e+01 
   323 :  1.7529300e+01  4.2889499e+01 
   324 :  1.7723054e+01  4.2812867e+01 
   325 :  1.7921149e+01  4.2748014e+01 
   326 :  1.8100437e+01  4.2654379e+01 
   327 :  1.8264501e+01  4.2547125e+01 
   328 :  1.8440927e+01  4.2451534e+01 
   329 :  1.8649283e+01  4.2484282e+01 
   330 :  1.8737755e+01  4.2370999e+01 
   331 :  1.8863410e+01  4.2249862e+01 
   332 :  1.9014848e+01  4.2133597e+01 
   333 :  1.9142227e+01  4.2003357e+01 
   334 :  1.9295444e+01  4.1894286e+01 
   335 :  1.9498068e+01  4.1837358e+01 
   336 :  1.9566317e+01  4.1692425e+01 
   337 :  1.9514152e+01  4.1535583e+01 
   338 :  1.9430350e+01  4.1387783e+01 
   339 :  1.9488821e+01  4.1234212e+01 
   340 :  1.9445888e+01  4.1077221e+01 
   341 :  1.9455376e+01  4.0915961e+01 
   342 :  1.9389402e+01  4.0762529e+01 
   343 :  1.9347014e+01  4.0609780e+01 
   344 :  1.9445145e+01  4.0466363e+01 
   345 :  1.9371432e+01  4.0365739e+01 
   346 :  1.9470437e+01  4.0225959e+01 
   347 :  1.9649573e+01  4.0140499e+01 
   348 :  1.9817323e+01  4.0042391e+01 
   349 :  1.9942066e+01  3.9914257e+01 
   350 :  2.0019341e+01  3.9763979e+01 
   351 :  2.0142554e+01  3.9633562e+01 
   352 :  2.0228125e+01  3.9501691e+01 
   353 :  2.0280815e+01  3.9349568e+01 
   354 :  2.0438315e+01  3.9243710e+01 
   355 :  2.0589455e+01  3.9132145e+01 
   356 :  2.0709479e+01  3.9002234e+01 
   357 :  2.0885164e+01  3.9030836e+01 
   358 :  2.1087411e+01  3.8994870e+01 
   359 :  2.1105687e+01  3.8884545e+01 
   360 :  2.0902350e+01  3.8916721e+01 
   361 :  2.0843305e+01  3.8809913e+01 
   362 :  2.0941007e+01  3.8667807e+01 
   363 :  2.1035129e+01  3.8526595e+01 
   364 :  2.1104561e+01  3.8376881e+01 
   365 :  2.1259237e+01  3.8356085e+01 
   366 :  2.1409585e+01  3.8346744e+01 
   367 :  2.1597646e+01  3.8331184e+01 
   368 :  2.1797437e+01  3.8370574e+01 
   369 :  2.2002650e+01  3.8384339e+01 
   370 :  2.2206331e+01  3.8359746e+01 
   371 :  2.2391265e+01  3.8402362e+01 
   372 :  2.2547679e+01  3.8323622e+01 
   373 :  2.2736881e+01  3.8301219e+01 
   374 :  2.2899178e+01  3.8203621e+01 
   375 :  2.3101832e+01  3.8180615e+01 
   376 :  2.3100722e+01  3.8064426e+01 
   377 :  2.2943298e+01  3.8010109e+01 
   378 :  2.2784961e+01  3.7991469e+01 
   379 :  2.2614047e+01  3.8080525e+01 
   380 :  2.2423158e+01  3.8140358e+01 
   381 :  2.2230027e+01  3.8196138e+01 
   382 :  2.2058686e+01  3.8284803e+01 
   383 :  2.1859387e+01  3.8260861e+01 
   384 :  2.1675984e+01  3.8187662e+01 
   385 :  2.1479499e+01  3.8186172e+01 
   386 :  2.1351214e+01  3.8110020e+01 
   387 :  2.1242549e+01  3.7973724e+01 
   388 :  2.1152946e+01  3.7841736e+01 
   389 :  2.1294758e+01  3.7729672e+01 
   390 :  2.1421678e+01  3.7622422e+01 
   391 :  2.1578460e+01  3.7521817e+01 
   392 :  2.1669253e+01  3.7377879e+01 
   393 :  2.1624504e+01  3.7228393e+01 
   394 :  2.1589435e+01  3.7077938e+01 
   395 :  2.1688942e+01  3.6938403e+01 
   396 :  2.1761841e+01  3.6794405e+01 
   397 :  2.1938548e+01  3.6792997e+01 
   398 :  2.1946279e+01  3.6952374e+01 
   399 :  2.2103701e+01  3.6987864e+01 
   400 :  2.2243566e+01  3.6871072e+01 
   401 :  2.2330735e+01  3.6726194e+01 
   402 :  2.2362464e+01  3.6567253e+01 
   403 :  2.2467316e+01  3.6528511e+01 
   404 :  2.2528254e+01  3.6682348e+01 
   405 :  2.2661245e+01  3.6798722e+01 
   406 :  2.2818300e+01  3.6720601e+01 
   407 :  2.2927363e+01  3.6584580e+01 
